sr_no,date,startup_name,industry_vertical,subvertical,city_location,investors_name,investment_type,amount_in_usd,incubation_center,sector,company_profile,is_meity_recognized
1,2023-01-10,TechNova,Technology,AI,Mumbai,Accel,Seed,500000,T-Hub,Artificial Intelligence,AI solutions provider,Yes
2,2023-01-15,GreenGen,Energy,CleanTech,Bangalore,Sequoia,Series A,1200000,NSRCEL,Clean Energy,Solar innovation startup,No
3,2023-01-20,FoodEase,FoodTech,Delivery,Delhi,Matrix Partners,Seed,300000,IIT Incubation,Food Technology,Food delivery platform,No
4,2023-01-22,HealthBridge,HealthTech,Diagnostics,Chennai,Titan Capital,Angel,200000,IIM Incubator,Healthcare,Diagnostics platform,Yes
5,2023-01-25,AutoBot,Robotics,Automation,Pune,Blume Ventures,Series B,2500000,MIT Incubator,Robotics,Industrial robots,Yes
6,2023-01-28,AgriPro,Agritech,Farming,Hyderabad,Omnivore,Seed,450000,T-Hub,Agriculture,Farm analytics platform,No
7,2023-02-01,FinEdge,FinTech,Payments,Mumbai,Tiger Global,Series A,1500000,CIE-IIITH,FinTech,Payments infrastructure,Yes
8,2023-02-05,EdSpark,EdTech,E-learning,Bangalore,Byju’s,Angel,180000,NSRCEL,Education,E-learning solutions,No
9,2023-02-08,StyleBee,Fashion,Retail,Delhi,Venture Highway,Seed,220000,IIT Incubation,Fashion,Retail clothing brand,No
10,2023-02-12,SafeHome,HomeTech,Security,Chennai,SAIF Partners,Series A,900000,IIM Incubator,Security,Home security systems,Yes
11,2023-02-14,AgroSense,Agritech,IoT,Pune,Omnivore,Angel,160000,MIT Incubator,Agriculture,Smart IoT sensors for farms,No
12,2023-02-18,CardiAI,HealthTech,AI Diagnostics,Mumbai,Chiratae Ventures,Seed,550000,T-Hub,Healthcare,AI cardiac diagnostics,Yes
13,2023-02-22,UrbanMove,Transport,Mobility,Bangalore,Ola Mobility Fund,Seed,300000,NSRCEL,Transport,Urban mobility app,No
14,2023-02-25,BuildWise,Construction,Tech,Delhi,Lightrock,Pre-Series A,700000,IIT Incubation,Construction,Construction workflow tech,No
15,2023-02-28,BlueHarvest,Agritech,Aquaculture,Chennai,Aavishkaar Capital,Series A,1300000,IIM Incubator,Agriculture,Aquaculture analytics,Yes
16,2023-03-02,FinGuard,FinTech,Cybersecurity,Mumbai,Matrix Partners,Seed,450000,CIE-IIITH,FinTech,Financial fraud detection,No
17,2023-03-06,SkillMine,EdTech,Skill Development,Bangalore,Blume Ventures,Angel,140000,NSRCEL,Education,Skill training platform,No
18,2023-03-10,InstaDoc,HealthTech,Telemedicine,Hyderabad,Accel,Series A,1100000,T-Hub,Healthcare,Online doctor consultations,Yes
19,2023-03-12,HomeWise,PropTech,Rental,Delhi,Greycroft,Pre-Series A,600000,IIT Incubation,Real Estate,Rental property platform,No
20,2023-03-16,MetalMind,Manufacturing,Automation,Pune,Sequoia,Series B,2800000,MIT Incubator,Manufacturing,AI-driven manufacturing,Yes
21,2023-03-20,SmartGrid,Energy,IoT,Chennai,Tata Capital,Seed,390000,IIM Incubator,Energy,Smart grid automation,No
22,2023-03-22,PaySwift,FinTech,UPI,Mumbai,RTP Global,Series A,900000,CIE-IIITH,FinTech,UPI payment solutions,Yes
23,2023-03-25,TrendKart,E-commerce,Fashion,Bangalore,Venture Highway,Seed,210000,NSRCEL,E-commerce,Fashion marketplace,No
24,2023-03-27,NanoHeal,HealthTech,Nanotech,Hyderabad,3one4 Capital,Seed,470000,T-Hub,Healthcare,Nanotech medical devices,Yes
25,2023-03-30,AquaPure,WaterTech,Treatment,Delhi,Indian Angel Network,Angel,180000,IIT Incubation,Water Technology,Water purification systems,No
26,2023-04-02,SkyLift,Transport,Drones,Pune,Info Edge Ventures,Series A,1250000,MIT Incubator,Transport,Delivery drones,Yes
27,2023-04-05,FreshBox,FoodTech,Supplies,Chennai,Matrix Partners,Seed,260000,IIM Incubator,Food Technology,Farm-to-store supplies,No
28,2023-04-07,CredMint,FinTech,Lending,Mumbai,SIDBI Fund,Pre-Series A,620000,CIE-IIITH,FinTech,Digital lending platform,No
29,2023-04-10,RoboAid,HealthTech,Rehab,Bangalore,Accel,Angel,150000,NSRCEL,Healthcare,Robotic rehab devices,Yes
30,2023-04-12,UrbanNest,PropTech,Home Services,Delhi,Lightrock,Seed,240000,IIT Incubation,Real Estate,Home service booking app,No
31,2023-04-15,TechHive,IT Services,SaaS,Hyderabad,Tiger Global,Series A,980000,T-Hub,Technology,SaaS workflow tools,Yes
32,2023-04-17,VoltGo,Energy,Battery,Pune,Sequoia,Series A,1500000,MIT Incubator,Energy,Lithium battery systems,Yes
33,2023-04-20,AgroChain,Agritech,SaaS,Bangalore,Omnivore,Seed,320000,NSRCEL,Agriculture,Farm management SaaS,No
34,2023-04-22,LearnEasy,EdTech,K12,Mumbai,Byju’s,Angel,160000,CIE-IIITH,Education,K12 digital learning,No
35,2023-04-25,MedVault,HealthTech,Records,Chennai,SAIF Partners,Pre-Series A,650000,IIM Incubator,Healthcare,Digital health records,Yes
36,2023-04-28,RoboFleet,Logistics,Robotics,Delhi,Chiratae Ventures,Series A,1400000,IIT Incubation,Logistics,Warehouse robots,Yes
37,2023-05-01,FreshCart,E-commerce,Grocery,Bangalore,Flipkart Ventures,Seed,230000,NSRCEL,E-commerce,Online grocery delivery,No
